MovieID,Title,IMDbRating,Plot,Director,Actors,Genre,Runtime,Released
16,Casino,8.2,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci","Crime, Drama",178 min,22 Nov 1995
17,Sense and Sensibility,7.7,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The older two daughters are the title opposites.",Ang Lee,"Emma Thompson, Kate Winslet, James Fleet","Drama, Romance",136 min,26 Jan 1996
18,Four Rooms,6.7,Four interlocking tales that take place in a fading hotel on New Year's Eve.,"Allison Anders, Alexandre Rockwell, Robert Rodriguez","Tim Roth, Antonio Banderas, Sammi Davis",Comedy,98 min,25 Dec 1995
19,Ace Ventura: When Nature Calls,6.4,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow","Adventure, Comedy, Crime",90 min,10 Nov 1995
20,Money Train,5.7,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",Joseph Ruben,"Wesley Snipes, Woody Harrelson, Jennifer Lopez","Action, Comedy, Crime",110 min,22 Nov 1995
21,Get Shorty,6.9,A mobster travels from Florida to Hollywood to collect a debt and discovers that the movie business is just as sleazy as the Miami underworld.,Barry Sonnenfeld,"Gene Hackman, Rene Russo, Danny DeVito","Comedy, Crime, Thriller",105 min,20 Oct 1995
22,Copycat,6.6,A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,Jon Amiel,"Sigourney Weaver, Holly Hunter, Dermot Mulroney","Drama, Mystery, Thriller",123 min,27 Oct 1995
23,Assassins,6.3,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore","Action, Crime, Thriller",133 min,06 Oct 1995
24,Powder,6.6,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen","Drama, Fantasy, Mystery",111 min,27 Oct 1995
25,Leaving Las Vegas,7.5,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands","Drama, Romance",111 min,09 Feb 1996
26,Othello,6.8,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",Oliver Parker,"Laurence Fishburne, Kenneth Branagh, Irène Jacob","Drama, Romance",123 min,19 Jan 1996
27,Now and Then,6.8,Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at 12 years could possibly have become the women they are now.,Lesli Linka Glatter,"Christina Ricci, Demi Moore, Rosie O'Donnell","Comedy, Drama, Romance",102 min,20 Oct 1995
28,Persuasion,7.7,Theatrical film of Persuasion with Ciaran Hinds &amp; Amanda Root. Directed by Roger Michell.,Roger Michell,"Amanda Root, Ciarán Hinds, Susan Fleetwood","Drama, Romance",103 min,06 Apr 1997
31,Dangerous Minds,6.5,"LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.",John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance","Biography, Drama",99 min,11 Aug 1995
33,Wings of Courage,6.4,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.",Jean-Jacques Annaud,"Craig Sheffer, Elizabeth McGovern, Tom Hulce","Adventure, Romance",40 min,18 Sep 1996
34,Babe,6.9,"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals acce...",Chris Noonan,"James Cromwell, Magda Szubanski, Christine Cavanaugh","Comedy, Drama, Family",91 min,04 Aug 1995
35,Carrington,6.8,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early twentieth century.,Christopher Hampton,"Emma Thompson, Jonathan Pryce, Steven Waddington","Biography, Drama, Romance",121 min,10 Nov 1995
36,Dead Man Walking,7.5,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky","Crime, Drama",122 min,02 Feb 1996
37,Across the Sea of Time,6.4,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is sear...",Stephen Low,"Peter Reznick, John McDonough, Avi Hoffman","Adventure, Drama, Family",51 min,20 Oct 1995
38,It Takes Two,6.0,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",Andy Tennant,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen","Comedy, Family, Romance",101 min,17 Nov 1995
39,Clueless,6.9,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy","Comedy, Romance",97 min,19 Jul 1995
40,"Cry, the Beloved Country",6.8,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",Darrell Roodt,"Richard Harris, James Earl Jones, Vusi Kunene","Drama, Thriller",106 min,15 Dec 1995
41,Richard III,7.3,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,Richard Loncraine,"Ian McKellen, Annette Bening, Christopher Bowen","Drama, Sci-Fi, War",104 min,29 Dec 1995
42,Dead Presidents,6.9,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","Albert Hughes, Allen Hughes","Larenz Tate, Keith David, Chris Tucker","Action, Crime, Drama",119 min,06 Oct 1995
43,Restoration,6.6,"The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",Michael Hoffman,"Robert Downey Jr., Sam Neill, David Thewlis","Biography, Drama, History",117 min,02 Feb 1996
44,Mortal Kombat,5.8,Three martial artists are forced to battle demonic adversaries in another dimension with the fate of the world hanging in the balance.,Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby","Action, Adventure, Fantasy",101 min,18 Aug 1995
45,To Die For,6.8,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix","Comedy, Crime, Drama",106 min,06 Oct 1995
46,How to Make an American Quilt,6.3,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,Jocelyn Moorhouse,"Winona Ryder, Ellen Burstyn, Anne Bancroft","Comedy, Drama, Romance",117 min,06 Oct 1995
48,Pocahontas,6.7,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"Mike Gabriel, Eric Goldberg","Mel Gibson, Linda Hunt, Christian Bale","Animation, Adventure, Drama",81 min,23 Jun 1995
49,When Night Is Falling,6.5,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny","Drama, Romance",94 min,17 Nov 1995
51,Guardian Angel,5.0,"A wealthy playboy hires an attractive woman detective, turned bodyguard, to protect him from a psychotic seductress; the same woman who killed the detective's lover just months before.",Richard W. Munchkin,"Cynthia Rothrock, Daniel McVicar, Lydie Denier, Marshall R. Teague","Action, Drama, Thriller",97 min,22 Nov 1994
52,Mighty Aphrodite,7.0,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",Woody Allen,"Woody Allen, Mira Sorvino, Pamela Blair","Comedy, Fantasy, Romance",95 min,10 Nov 1995
53,Lamerica,7.4,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets...",Gianni Amelio,"Enrico Lo Verso, Michele Placido, Piro Milkani","Comedy, Drama",116 min,04 Oct 1995
55,Georgia,6.5,Sadie is desperately looking up to her older sister Georgia who is a famous C&amp;W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,Ulu Grosbard,"Jennifer Jason Leigh, Mare Winningham, Ted Levine","Drama, Music",115 min,08 Dec 1995
56,Kids of the Round Table,5.1,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil sabres and plastic armor. The summer fun a...",Robert Tinnell,"Johnny Morina, Maggie Castle, Christopher Olscamp","Adventure, Comedy, Family",89 min,15 Dec 1995
57,Home for the Holidays,6.6,"After being fired, making out with her soon-to-be ex-boss, and discovering that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces the unenviable task of spending the holiday with her exceedingly dul...",Jodie Foster,"Holly Hunter, Anne Bancroft, Robert Downey Jr.","Comedy, Drama, Romance",103 min,03 Nov 1995
61,Eye for an Eye,6.2,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",John Schlesinger,"Sally Field, Kiefer Sutherland, Ed Harris","Crime, Drama, Thriller",101 min,12 Jan 1996
62,Mr. Holland's Opus,7.3,A frustrated composer finds fulfillment as a high school music teacher.,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas","Drama, Music",144 min,19 Jan 1996
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.5,"A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).",Paris Barclay,"Shawn Wayans, Marlon Wayans, Keenen Ivory Wayans","Comedy, Crime",89 min,12 Jan 1996
64,Two If by Sea,5.3,"A couple steals a Matisse painting on contract and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.",Bill Bennett,"Sandra Bullock, Denis Leary, Stephen Dillane","Comedy, Crime, Romance",96 min,12 Jan 1996
65,Bio-Dome,4.4,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",Jason Bloom,"Pauly Shore, Stephen Baldwin, William Atherton",Comedy,88 min,12 Jan 1996
66,Lawnmower Man 2: Beyond Cyberspace (1996) - Episode 21 BARGAIN BIN,N/A,N/A,N/A,N/A,N/A,N/A,15 Jul 2019
67,Two Bits,6.1,"Gennaro lives with his ailing grandpa, who sits outside holding tight to his last quarter. But grandpa's not ready to die, he has some unfinished business with a woman from his past and he enlists Gennaro to act as his emissary.",James Foley,"Al Pacino, Mary Elizabeth Mastrantonio, Jerry Barone","Comedy, Drama",85 min,22 Nov 1995
69,Friday,7.2,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long","Comedy, Drama",91 min,26 Apr 1995
70,From Dusk Till Dawn,7.2,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Robert Rodriguez,"Harvey Keitel, George Clooney, Juliette Lewis","Action, Crime, Horror",108 min,19 Jan 1996
71,Fair Game,4.4,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",Andrew Sipes,"William Baldwin, Cindy Crawford, Steven Berkoff","Action, Romance, Thriller",91 min,03 Nov 1995
72,Kicking and Screaming,6.7,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",Noah Baumbach,"Josh Hamilton, Eric Stoltz, Samuel Gould","Comedy, Drama, Romance",96 min,06 Oct 1995
74,Bed of Roses,6.1,Romantic drama about a young career girl who is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.,Michael Goldenberg,"Christian Slater, Mary Stuart Masterson, Pamela Adlon","Drama, Romance",87 min,26 Jan 1996
75,Big Bully,4.8,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",Steve Miner,"Rick Moranis, Tom Arnold, Julianne Phillips","Comedy, Thriller",90 min,26 Jan 1996
76,Screamers,6.3,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained s...",Christian Duguay,"Peter Weller, Roy Dupuis, Jennifer Rubin","Horror, Sci-Fi, Thriller",108 min,26 Jan 1996
77,Nico Icon,7.2,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same ...",Susanne Ofteringer,"Nico, Tina Aumont, Christian Päffgen","Documentary, Biography, Music",67 min,16 Nov 1995
81,Things to Do in Denver When You're Dead,6.7,Five different criminals face imminent death after botching a job quite badly.,Gary Fleder,"Andy Garcia, Christopher Walken, Christopher Lloyd","Crime, Drama, Thriller",115 min,01 Dec 1995
83,Once Upon a Time... When We Were Colored,7.4,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,Tim Reid,"Al Freeman Jr., Phylicia Rashad, Leon","Drama, Romance",115 min,26 Jan 1996
84,Last Summer in the Hamptons,5.8,"This moving story was the swan song of actress Viveca Lindfors, who died unexpectedly soon after completing it. It's a fitting tribute, as the film explores the last performance in the ancestral home of a large family of actors.",Henry Jaglom,"Victoria Foyt, Viveca Lindfors, Jon Robin Baitz","Comedy, Drama",108 min,15 Sep 1996
85,Angels and Insects,6.8,In the 1800s a naturalist marries into a family of British country gentry.,Philip Haas,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit","Drama, Romance",116 min,26 Jan 1996
86,White Squall,6.6,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,Ridley Scott,"Jeff Bridges, Caroline Goodall, John Savage","Adventure, Drama",129 min,02 Feb 1996
87,Dunston Checks In,5.4,A young boy befriends a larcenous orangutan in a luxury hotel.,Ken Kwapis,"Jason Alexander, Faye Dunaway, Eric Lloyd","Adventure, Comedy, Family",88 min,12 Jan 1996
88,Black Sheep,6.2,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,Penelope Spheeris,"Chris Farley, David Spade, Tim Matheson",Comedy,87 min,02 Feb 1996
89,Nick of Time,6.3,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",John Badham,"Johnny Depp, Christopher Walken, Courtney Chase","Action, Crime, Drama",90 min,22 Nov 1995
92,Mary Reilly,5.8,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.",Stephen Frears,"Julia Roberts, John Malkovich, George Cole","Drama, Horror, Romance",108 min,23 Feb 1996
93,Vampire in Brooklyn,4.7,A Caribbean vampire seduces a Brooklyn police officer who has no idea that she is half-vampire.,Wes Craven,"Eddie Murphy, Angela Bassett, Allen Payne","Comedy, Fantasy, Horror",100 min,27 Oct 1995
94,Beautiful Girls,7.1,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,Ted Demme,"Matt Dillon, Timothy Hutton, Noah Emmerich","Comedy, Drama, Romance",112 min,09 Feb 1996
95,Broken Arrow,6.1,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,John Woo,"John Travolta, Christian Slater, Samantha Mathis","Action, Adventure, Thriller",108 min,09 Feb 1996
98,Shopping,5.4,"You've run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds! This movie is about underground England. The causes, the benefits, and the result of a life of 'crash and carry.'",Paul W.S. Anderson,"Sadie Frost, Jude Law, Sean Pertwee","Action, Crime, Drama",87 min,09 Feb 1996
99,Heidi Fleiss: Hollywood Madam,6.6,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone w...",Nick Broomfield,"Nick Broomfield, Nina Xining Zuo, Madam Alex","Documentary, Biography",106 min,09 Feb 1996
100,City Hall,6.2,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",Harold Becker,"Al Pacino, John Cusack, Bridget Fonda","Crime, Drama, Mystery",111 min,16 Feb 1996
101,Bottle Rocket,6.9,Three friends plan to pull off a simple robbery and go on the run.,Wes Anderson,"Luke Wilson, Owen Wilson, Ned Dowd","Comedy, Crime, Drama",91 min,21 Feb 1996
102,Mr. Wrong,3.8,"A lonely single woman finds the seemingly-perfect man to date, but soon regrets it when his deranged, possessive other personality emerges and she cannot convince anyone else of his Jekyll-and-Hyde true nature.",Nick Castle,"Ellen DeGeneres, Bill Pullman, Joan Cusack",Comedy,96 min,16 Feb 1996
103,Unforgettable,6.0,A Seattle medical examiner uses an experimental memory transference drug to unravel the mystery surrounding his wife's brutal murder.,John Dahl,"Ray Liotta, Linda Fiorentino, Peter Coyote","Drama, Mystery, Sci-Fi",117 min,23 Feb 1996
104,Happy Gilmore,7.0,"After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back.",Dennis Dugan,"Adam Sandler, Christopher McDonald, Julie Bowen","Comedy, Sport",92 min,16 Feb 1996
107,Muppet Treasure Island,6.9,"The Muppets set sail in search of treasure, with Jim Hawkins and Long John Silver.",Brian Henson,"Tim Curry, Billy Connolly, Jennifer Saunders","Action, Adventure, Comedy",99 min,16 Feb 1996
108,Catwalk,7.1,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York in 1994. She and others dash from one designer's unveilings to another. Extended footage looks at Versace and Armani in Milan...",Robert Leacock,"Christy Turlington, Azzedine Alaïa, Giorgio Armani",Documentary,95 min,16 May 1996
109,Headless Body in Topless Bar,4.8,"Late one night, in a seedy topless bar, a group of men watch a stripper dance over their malted beverages. But, one of them is an ex-con who's about to put the group on a collision course with death. Inspired by the events that sp...",James Bruce,"Raymond J. Barry, Rustam Branaman, Jennifer MacDonald","Comedy, Crime, Drama",110 min,16 Feb 1996
110,Braveheart,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan","Biography, Drama, War",178 min,24 May 1995
111,Taxi Driver,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd","Crime, Drama",114 min,09 Feb 1976
112,Rumble in the Bronx,6.8,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,Stanley Tong,"Jackie Chan, Anita Mui, Françoise Yip","Action, Comedy, Crime",87 min,23 Feb 1996
113,Before and After,6.1,Two parents deal with the effects when their son is accused of murdering his girlfriend.,Barbet Schroeder,"Meryl Streep, Liam Neeson, Edward Furlong","Crime, Drama, Mystery",108 min,23 Feb 1996
114,Margaret's Museum,7.2,"Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them.",Mort Ransen,"Helena Bonham Carter, Kate Nelligan, Clive Russell",Drama,114 min,26 Jan 1996
115,Happiness Is in the Field,7.0,"Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend Gerard. Then a TV show called ""where are y...",Étienne Chatiliez,"Michel Serrault, Eddy Mitchell, Sabine Azéma",Comedy,106 min,31 Jan 1997
116,Anne Frank Remembered,8.1,"Tells the story of the Frank family and paints a portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust.",Jon Blair,"Kenneth Branagh, Glenn Close, Isa Baschwitz","Documentary, Biography, War",117 min,08 Jun 1995
118,If Lucy Fell,4.9,Two NYC roommates have a pact to jump off Brooklyn Bridge if they haven't found life partners before she's 30. That's less than a month away.,Eric Schaeffer,"Sarah Jessica Parker, Eric Schaeffer, Ben Stiller","Comedy, Romance",92 min,08 Mar 1996
119,Steal Big Steal Little,4.7,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate ...",Andrew Davis,"Andy Garcia, Alan Arkin, Rachel Ticotin",Comedy,135 min,29 Sep 1995
120,Race the Sun,5.4,"A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car and win a trip to compete in the 1990 World Solar Challenge in Australia.",Charles T. Kanganis,"Halle Berry, Jim Belushi, Bill Hunter","Adventure, Comedy, Drama",100 min,22 Mar 1996
122,Boomerang,5.6,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,Reginald Hudlin,"Eddie Murphy, Robin Givens, Halle Berry","Comedy, Drama, Romance",117 min,01 Jul 1992
123,Chungking Express,8.0,"Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",Wong Kar-Wai,"Brigitte Lin, Takeshi Kaneshiro, Tony Leung Chiu-wai","Comedy, Crime, Drama",102 min,08 Mar 1996
125,Flirting with Disaster,6.7,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents.",David O. Russell,"Ben Stiller, Patricia Arquette, Téa Leoni",Comedy,92 min,12 Apr 1996
129,Pie in the Sky,5.8,A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy.,Bryan Gordon,"Josh Charles, Anne Heche, John Goodman","Comedy, Romance",95 min,09 Feb 1996
130,Angela,6.3,Rebecca Miller's riveting drama examines how two sisters cope with their mother's mental illness.,Rebecca Miller,"Miranda Rhyne, Charlotte Eve Blythe, Anna Thomson",Drama,99 min,02 May 2015
131,Frankie Starlight,6.5,"A writer with dwarfism shares the story of his unconventional, though not altogether bad, upbringing as his mother struggled to raise him in the mid-20th century with help from a surrogate father.",Michael Lindsay-Hogg,"Matt Dillon, Anne Parillaud, Gabriel Byrne","Drama, Romance, War",101 min,22 Nov 1995
132,Jade,5.3,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he stil...",William Friedkin,"David Caruso, Linda Fiorentino, Chazz Palminteri","Crime, Drama, Thriller",95 min,13 Oct 1995
133,Nueba Yol,7.1,"The humble and hardworking Orodoto Balbuena finally gets an opportunity of realizing his lifelong dream of reaching New York and living the ""American Dream"", but soon finds out that things aren't as pretty as he thought.",Ángel Muñiz,"Luisito Martí, Caridad Ravelo, Raúl Carbonell","Comedy, Drama",106 min,16 Aug 1995
134,Sonic Outlaws,7.4,"Within days after the release of Negativland's clever parody of U2 and Casey Kasem, recording industry giant Island Records descended upon the band with a battery of lawyers intent on erasing the piece from the history of rock mus...",Craig Baldwin,"Lloyd Dunn, Chris Grigg, Mark Hosler",Documentary,87 min,14 Jul 1995
135,Down Periscope,6.2,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days.",David S. Ward,"Kelsey Grammer, Lauren Holly, Rob Schneider",Comedy,92 min,01 Mar 1996
